	Bal_1316B	Bal_2007B	Bal_BB_12	Bal_1395B	Bal_ATCC_27673	Bal_strain_19_D_1	Bal_IM841	Bal_BF052	Bal_CF3_2	Ba_Probio_M8	Bal_Bl_04	Bal_19_D_1	Bal_DS23_2	Bal_DS28_2	Bal_H1	Bal_i797	Bal_DSM_15954	Bal_BL_G101	Bal_IDCC4301	Bal_S7	Bal_BAMA_B06	Bal_BLa80	Bal_UBBLa_70	Bal_MH_02	Bal_Bi_07	Bal_1843B	Bal_1821B	Bal_Bl12	Bal_2010B	Bal_B420	Bal_BM_25	Bal_V9	Bal_HN019	Bal_1808B	Bal_LMG_P_17502_2	Bal_H3	Bal_AD011	Bal_PT33	Bal_LMG_P_17502_1	Bal_BS_01	Bal_1813B	Bal_strain_HN019	Bal_1802B	Bal_BP026	Bal_SF	Bal_ATCC_27674	Bal_1528B	Bal_ATCC_27536	Bal_DSM_10140	Bal_MB_2409	Bal_CNCM_I_2494	Bal_1811B	Bal_BLC1	Bal_strain_BS_01	Bal_DS24_2	Bal_1869B	Bal_KLDS2.0603	Bal_646	Bal_MN_Gup
Bal_1316B	1	0.98989113317757	0.998911408898305	0.999966428192899	0.994217385583524	0.993911109852775	0.999998437832094	0.999907833686441	0.999867374301676	0.999991681697613	0.99987671436142	0.993911109852775	0.999685198711063	0.999883287307488	0.999966297669491	0.99996124536301	0.999997923728814	0.99980053561864	0.999992733050848	0.999961049284579	0.999993252118644	0.999990068965517	0.999936734693878	0.999940302066772	0.999927636459989	0.999993771186441	0.999993252118644	0.999906731991526	0.989939859731152	0.999943121356651	0.99982946362188	0.999987535771065	0.999991124134257	0.999991696712619	0.999899261031366	0.999963702330508	0.99962039978678	0.999942010610079	0.999926367021277	0.999945447800742	0.999971355932203	0.99999376127321	0.999992640509014	0.999954729299363	0.99996285108638	0.999643727272727	0.994429028571429	0.999568332442544	0.99993223223754	0.999763143617021	0.999490095389507	0.999994284199364	0.999894512711864	0.999959502118644	0.999950063728094	0.99996051961824	0.999809549788136	0.999897513255567	0.999961317333333
Bal_2007B	0.988690655072464	1	0.987601002317497	0.988651385507246	0.987973226929774	0.987342063400576	0.988667142857143	0.988571065431384	0.989032649727768	0.988565527842227	0.988565460335843	0.987342063400576	0.988520519480519	0.988671382916909	0.988588274464389	0.98853516801854	0.988580202663578	0.988952230005838	0.988568360370799	0.988553673232908	0.98857580775912	0.988559460556845	0.988917749706228	0.988597608569774	0.988591864504922	0.988690017391304	0.988689536231884	0.988563294730747	0.999954138817481	0.988581609727852	0.988675594405594	0.988574667052693	0.988667244186046	0.988680614849188	0.98862012195122	0.988586554719166	0.988296079346558	0.988571028471819	0.988625478816018	0.988673853743471	0.988675652173913	0.988569269141531	0.988685571014493	0.988597498549042	0.988579878401853	0.9887004606414	0.987779704004643	0.98859465034965	0.988564001158078	0.988597152818129	0.988118118123914	0.988685261020882	0.988507151129125	0.9886852	0.988720806732444	0.988702817391304	0.988532149478563	0.988875174621653	0.988662822299652
Bal_BB_12	0.998978780359028	0.988460343023256	1	0.998918474934037	0.993021952326901	0.992414244806289	0.999026029567054	0.998865076195481	0.999232550964187	0.998949542346134	0.998830115606936	0.992414244806289	0.998812040598291	0.998825833333333	0.999107601626016	0.998917839116719	0.998951702574882	0.99883042598509	0.998949175420168	0.99891668943773	0.99895431197479	0.998949542346134	0.999050869797225	0.998858797268908	0.998828218602207	0.998975670538543	0.998946211081794	0.998813956910142	0.988472331395349	0.998880667367315	0.998923553675304	0.998945596426695	0.998996640169582	0.998966224920802	0.998747311544544	0.998881722689076	0.998843044854881	0.998948905341089	0.998833261099366	0.998910031595577	0.998949941952507	0.998949578947368	0.998997908082409	0.998943005263158	0.998880903361345	0.998854221158958	0.993620812038614	0.99869817118554	0.998863399894903	0.998802968832541	0.999179217025749	0.99896418469657	0.999012106092437	0.998894172359432	0.998896191737288	0.998948094986808	0.998740225959012	0.998879604847208	0.99896870301747
Bal_1395B	0.999966956521739	0.989823061583578	0.998952937433722	1	0.994149664009112	0.993752788461539	0.999966383430695	0.999875802861685	0.999854470914127	0.99996067940552	0.999857216330859	0.993752788461539	0.999758783494105	0.999914115772703	0.999946857445681	0.99999065747614	0.999967493375728	0.999760758547008	0.999961760339342	0.999929697773065	0.999961261261261	0.999959639065817	0.999922803437164	0.999921876988335	0.99990816542948	0.999962820784729	0.99996230116649	0.999888638049814	0.98985515258216	0.999912126193001	0.999825055880788	0.999957603393425	0.999958471778488	0.999961086956522	0.999900180851064	0.999943222045575	0.999700507207688	0.999872908704883	0.99992163211058	0.999898775185578	0.999942025450689	0.999961719745223	0.99996106518283	0.999956468401487	0.999935816542948	0.999627301333333	0.994389092465754	0.999546522666667	0.999901267232238	0.999694367693942	0.999507014846235	0.999962820784729	0.999880768415474	0.999928532061473	0.999930673740053	0.999963780487805	0.999801637519873	0.999906631243358	0.999929227902023
Bal_ATCC_27673	0.993728269560251	0.988223154831199	0.992940291095891	0.99368526826484	1	0.996156442105263	0.993797738981111	0.993698144977169	0.993747434210526	0.99376166380789	0.993661375570776	0.996156442105263	0.993628440207972	0.993693699256718	0.993761221461187	0.993727087378641	0.993768082191781	0.993699408385985	0.993759074814392	0.993745431182182	0.993763247716895	0.993760571755289	0.993643924855491	0.993741175799087	0.993717374429224	0.993728172472873	0.993717905251141	0.99368796803653	0.988207603257708	0.993793826384923	0.993623800801374	0.993763595890411	0.993765922107675	0.993767527127356	0.993676329331046	0.993759514840183	0.993517326448652	0.993641268571428	0.993707209834191	0.993726581050228	0.99376803652968	0.9937637621498	0.993766641918904	0.993727191075515	0.993765325342466	0.993778996006845	0.994644555617663	0.993821780821918	0.993703818493151	0.993698040114613	0.993408630136986	0.993714911479155	0.993680599315069	0.993677288812785	0.993753224699828	0.993791736150771	0.993676729452055	0.993918074285714	0.993748137535816
Bal_strain_19_D_1	0.993428013505909	0.987926741637832	0.992357325842696	0.993396265466817	0.996090110352076	1	0.993439087323944	0.993439241998877	0.993312072812684	0.993423121484814	0.993378455923639	0.999999490909091	0.993268515981735	0.993328451576577	0.99343037619315	0.993395786516854	0.993437394722066	0.993276649688738	0.993434379562044	0.993413020774846	0.993430421348314	0.993422570303712	0.993298397947549	0.993413969679955	0.993433756316676	0.993425301069218	0.993429673790776	0.993408893879843	0.98789973456434	0.993435710275127	0.993278103837472	0.993429837170129	0.993425747320925	0.993438417792793	0.99324705518018	0.993427602470522	0.993144071146245	0.993338647125141	0.993302646396396	0.993387186268993	0.993398233970754	0.99342614735658	0.993440258863253	0.993386741699494	0.993420291970803	0.99314919592299	0.993630621186911	0.992974290559638	0.993420207748456	0.993228503670243	0.99294326221224	0.993430264490715	0.993352038180797	0.993398439079169	0.993427267080745	0.993423303320203	0.993345743964065	0.993380326392797	0.993395056369786
Bal_IM841	0.999972048574445	0.99034521357519	0.99901036939314	0.999950596306068	0.994309647727273	0.99388226042841	1	0.999875757255937	0.999856221731936	0.999988086680761	0.999882807387863	0.99388226042841	0.99976633493847	0.999899804439746	0.999974659630607	0.999969984160507	0.999995345646438	0.999795348961108	0.999991208443272	0.999960158394932	0.999991720316623	0.999987568710359	0.999912952482648	0.999947757255937	0.999905488126649	0.999967909186906	0.999966121372032	0.99988744591029	0.99037656323185	0.999910965699208	0.99982671957672	0.999985203166227	0.99998700265252	0.999990126715945	0.999943630100689	0.999970005277045	0.999733786510887	0.999893542766631	0.999931531531531	0.999973864836325	0.999954221635884	0.999988086680761	0.99999050686378	0.999985483870968	0.999969677930306	0.999632388297872	0.994423282226008	0.999587744680851	0.999899883905013	0.999767530407192	0.99954545646438	0.999965535620053	0.999908870712401	0.999967155672823	0.999956975145425	0.999993296354992	0.999816538258575	0.999903453199365	0.999974527600849
Bal_BF052	0.9999547120972	0.989573106457243	0.998946963157895	0.99992232312566	0.993891519274377	0.99353701181767	0.999955893234672	1	0.99974162726773	0.999943598524763	0.999813763157895	0.99353701181767	0.999670949570815	0.99977206969377	0.999860278800631	0.999918063157895	0.999950405049974	0.999709164449175	0.999949331578948	0.999917396107312	0.999949879011047	0.999945147523709	0.999888444326052	0.999844950026302	0.9998664	0.999950570522979	0.999950052826202	0.999878748027354	0.989572598837209	0.999943147368421	0.999795408970976	0.999946752631579	0.999965140434552	0.999936613840465	0.999739017432647	0.999855639137296	0.999703523809524	0.999859820010588	0.999765594923321	0.999887282780411	0.999935034337031	0.999946180189673	0.999946578669482	0.999945063224447	0.999854823776959	0.999629835630965	0.994411860465116	0.999487537154989	0.9999287	0.999685324881141	0.999511110526316	0.999949725448785	0.999888064176749	0.9999156864808	0.999842034883721	0.999915813953488	0.999735239347712	0.999848207696363	0.999957436440678
Bal_CF3_2	0.997638771764706	0.987366002076843	0.997228280734809	0.997613162352941	0.991886237373738	0.991408090452261	0.997663910588235	0.997585004703669	1	0.997649646559849	0.99770442144873	0.991408090452261	0.997573274798292	0.997739623352166	0.997716481655691	0.99763641882353	0.997659139228598	0.997546803588291	0.997656589840075	0.997629120413923	0.997662572906867	0.997648722902922	0.997806965386439	0.997741966133584	0.997673109125117	0.997634847058824	0.997634385882353	0.997581025399812	0.987309600415153	0.997609825964252	0.997557821176471	0.997655324553151	0.997653347477605	0.997661077647059	0.997728067860509	0.997711015992474	0.997432930056711	0.997675778823529	0.997730974117647	0.997621209411765	0.997639374117647	0.997652172478793	0.997661002352941	0.997650325318246	0.997706136470588	0.997519055712937	0.992495083544304	0.997469551675319	0.997598344308561	0.997573526365348	0.99761225047081	0.997634042352941	0.997606331138288	0.992511129032258	0.997747961393597	0.997662771764706	0.997529016933208	0.997587757889779	0.997638609146629
Ba_Probio_M8	0.999970924947146	0.989322701449276	0.998934533965245	0.999946677231907	0.993854685552408	0.993402076318743	0.999977209302326	0.999821736842105	0.999817780837004	1	0.999807240652975	0.993402076318743	0.999739423076923	0.999849698731501	0.99994622631579	0.9999739	0.999988136842105	0.999772278548559	0.999986073684211	0.999957166929963	0.999985063157895	0.999992263157895	0.999915315508022	0.999920900473934	0.999830479199579	0.999968853065539	0.999955800316957	0.999807978947368	0.989244622969838	0.999857319641917	0.999825808161102	0.999980389678778	0.999991132874537	0.999985977801269	0.999817201058201	0.999943647368421	0.999739909862142	0.99988462962963	0.999874380952381	0.99992748682824	0.999965224511358	0.999993294736842	0.999986506342495	0.999950447604002	0.99994277368421	0.999560809802877	0.994371985252411	0.999409228723404	0.999846087414429	0.999677757800106	0.999498162190627	0.999956291600634	0.999889615789474	0.999938588730911	0.999931261930011	0.999953903856313	0.999767031578947	0.999889224274406	0.999949490986214
Bal_Bl_04	0.999883581616482	0.989670536443149	0.998927447368421	0.999872905441099	0.994061128757799	0.9937425928009	0.999909524564184	0.999838216728038	0.999893470847085	0.999875237091676	1	0.9937425928009	0.999784145299145	0.999895029054411	0.999922288269332	0.999867806417675	0.999882556549185	0.999657112413426	0.999878942661757	0.99985102631579	0.999876643871646	0.999874209694415	0.999985440469834	0.999953357894737	0.999942984771574	0.999883576333862	0.999883058637084	0.999853072067333	0.989515790087463	0.99988309310889	0.999772331743508	0.999876954234613	0.999876569613552	0.99987454593453	0.999762851851852	0.999918679642293	0.999652768660667	0.999792845055526	0.99978941300899	0.99982082631579	0.999862857897517	0.999877302423604	0.999881595351294	0.999871512915129	0.99991733824303	0.999645178096757	0.994596264923252	0.999498745348219	0.999870273540242	0.999649915522703	0.999436591267754	0.999882382461701	0.999803571804314	0.999845655608215	0.999965200845666	0.999881431590069	0.999780494476591	0.999847543489721	0.999847868504772
Bal_19_D_1	0.993428013505909	0.987926741637832	0.992357325842696	0.993396265466817	0.996090110352076	0.999999490909091	0.993439087323944	0.993439241998877	0.993312072812684	0.993423121484814	0.993378455923639	1	0.993268515981735	0.993328451576577	0.99343037619315	0.993395786516854	0.993437394722066	0.993276649688738	0.993434379562044	0.993413020774846	0.993430421348314	0.993422570303712	0.993298397947549	0.993413969679955	0.993433756316676	0.993425301069218	0.993429673790776	0.993408893879843	0.98789973456434	0.993435710275127	0.993278103837472	0.993429837170129	0.993425747320925	0.993438417792793	0.99324705518018	0.993427602470522	0.993144071146245	0.993338647125141	0.993302646396396	0.993387186268993	0.993398233970754	0.99342614735658	0.993440258863253	0.993386741699494	0.993420291970803	0.99314919592299	0.993630621186911	0.992974290559638	0.993420207748456	0.993228503670243	0.99294326221224	0.993430264490715	0.993352038180797	0.993398439079169	0.993427267080745	0.993423303320203	0.993345743964065	0.993380326392797	0.993395056369786
Bal_DS23_2	0.999258819301848	0.9899856002265	0.998256269881991	0.999226801848049	0.993752715231788	0.993268001098298	0.99928365364851	0.99919261159569	0.999245885805763	0.999276392600206	0.999228732683427	0.993268001098298	1	0.999239568345324	0.999295500256542	0.999249964065708	0.999283750641355	0.999066226804124	0.999279194045174	0.999251468172484	0.999279763981529	0.999274552929085	0.999272589517384	0.999311714579055	0.99924980502822	0.999257813141684	0.999255169404517	0.999167167778348	0.989909003397509	0.999224704976911	0.999125403598972	0.999292991277578	0.999290834191555	0.999282879876797	0.999282258230453	0.999291477680862	0.998993441358025	0.999221813045711	0.999260987146529	0.999247219086711	0.999255071868583	0.99927618705036	0.999282376796715	0.999267990750257	0.999288593429158	0.998998278350516	0.994144427860697	0.998949392378991	0.999212746406571	0.999144766066838	0.9988300564392	0.999255133470226	0.999207065161621	0.999245900461775	0.999313192802057	0.999282371663244	0.999073622370446	0.999182613168724	0.999237703398558
Bal_DS28_2	0.999878675847457	0.989817964809384	0.998869804129169	0.99984719809322	0.993874669327252	0.993465882352941	0.999905957559682	0.999757867724868	0.999841298342541	0.999868585055644	0.999772800423504	0.993465882352941	0.999714062165059	1	0.999886936507936	0.999837458973002	0.999873132275132	0.999718742004264	0.999870015873016	0.999842361037586	0.99986717989418	0.999867027027027	0.999856568364611	0.99987498941799	0.999824473266279	0.999878670550848	0.999878151483051	0.999752100529101	0.989849741632414	0.999797379565908	0.999765908850027	0.999865653785071	0.999918374070138	0.999906304347826	0.999906786850477	0.999883497354497	0.999631931878659	0.999821140583554	0.999928818229995	0.999857212506624	0.9998853125	0.999870657127716	0.999905691573927	0.999830063626723	0.999882085759661	0.999595460841769	0.994538310502283	0.999446544195953	0.999786109052409	0.999701442970822	0.999458549497088	0.99987808691044	0.999805275132275	0.99983682010582	0.999904224229543	0.999905572033898	0.999646925925926	0.999779840848806	0.99987275862069
Bal_H1	0.999929293993678	0.989654453441296	0.998877985309549	0.999886282253818	0.994239221218962	0.993824781634938	0.999916592827004	0.999830991085474	0.999856075949367	0.999923277310924	0.999868563188254	0.993824781634938	0.999773130666667	0.999888636124276	1	0.999896864184583	0.999926502359727	0.999705201912859	0.999928023072889	0.999901809124279	0.999926019926586	0.999923282563025	0.999930095948827	0.999940388044048	0.999918793917147	0.999930316122234	0.999916878947368	0.99983208180388	0.989598358381503	0.999870597797588	0.999814358161648	0.999924263240692	0.999919973544973	0.999931492616034	0.999858459915612	0.99999229155742	0.999644944591029	0.999824989451477	0.999886744063324	0.999868540682415	0.999892105263158	0.999922762605042	0.999929905063291	0.999881539674199	0.999962695332984	0.999653340414232	0.99477246179966	0.999503202545069	0.999856706869428	0.999760126649076	0.99944048767698	0.999917528977872	0.999836544310435	0.999880529905561	0.999951437632135	0.99989069583553	0.999776156266387	0.999854944823962	0.999910063458487
Bal_i797	0.999934973572939	0.989427817759722	0.998918140756303	0.999961219640972	0.994333772727273	0.993954271243669	0.999957986221516	0.999888512874409	0.999796431742508	0.999954324039979	0.999809410836402	0.993954271243669	0.999622616621984	0.999814918119387	0.999885330882353	1	0.999960593175853	0.999738853944563	0.999959543067227	0.999927690288714	0.999957527559055	0.999954839558127	0.999916664885088	0.999857601049869	0.999861557075224	0.999932922832981	0.999929852086635	0.999858649500788	0.989354620289855	0.999923982114676	0.999802047619048	0.999953857067788	0.99995156779661	0.999958779069768	0.999832835269271	0.999880698529412	0.999667225158562	0.999871699311805	0.9998864659271	0.999899668595476	0.999948932910724	0.999950226077813	0.999958800845219	0.999912607781283	0.999879947506562	0.999572535885168	0.99485303185438	0.99942570212766	0.999909489473684	0.999732046536224	0.999469989490278	0.999930169043846	0.999869469537815	0.999897213459516	0.999866095238095	0.999926187961985	0.999766983709932	0.999895208004213	0.999940423953365
Bal_DSM_15954	0.999995677385345	0.989771524141943	0.998958524934383	0.999947351237494	0.99422661199095	0.993828783632287	0.999978612869198	0.999888562434418	0.99988204070407	0.999985286389911	0.99986926547744	0.993828783632287	0.999804159528908	0.999891302742616	0.999975320041973	0.999959023622047	1	0.999746888297872	0.999989711286089	0.999957816272966	0.999990755905512	0.999986720966894	0.999932981895634	0.999949060367454	0.999920288562434	0.999991544544017	0.999973988408851	0.999896322140608	0.989796156086197	0.99992221930745	0.999835285412262	0.999981804826862	0.999984357482813	0.999990352631579	0.999861858500528	0.999971720881427	0.999730902851109	0.999880895679663	0.999900786694826	0.999919658792651	0.99996468914647	0.999985176037835	0.999989763033176	0.999981550998948	0.999970393494229	0.999674014869888	0.99466153759186	0.999512428419936	0.999912990556139	0.999718177988415	0.999512513116474	0.999973675618747	0.999895110178384	0.999937805774278	0.99996217299578	0.999959499209278	0.999774150052466	0.999870609884332	0.999950914376321
Bal_BL_G101	0.999745333333333	0.989408263403263	0.998711349920593	0.999712031746032	0.994084030699261	0.993611465761177	0.999772652196929	0.999684685018528	0.999610888520971	0.999757613997879	0.999605063559322	0.993611465761177	0.999474193893948	0.999732261146497	0.999730259396506	0.99972655902594	0.999764867724868	1	0.999758126984127	0.99972717989418	0.999762798941799	0.999755874867444	0.999865275843599	0.999701634920635	0.999652971398305	0.999739111111111	0.999738798941799	0.999621063492064	0.989341904484566	0.999670169491525	0.999762984599044	0.999752547669492	0.999774901752522	0.999766871360508	0.999701258629846	0.999727665431445	0.99943884389984	0.999653069989396	0.999719007430998	0.999754011658717	0.99974037037037	0.99975981981982	0.999766534391534	0.999758150503445	0.999726326098465	0.999425654255319	0.994397698005698	0.999286615302869	0.999659841017488	0.999533866171004	0.999263794382618	0.999739835978836	0.999673890947591	0.999737761904762	0.999722863202545	0.999770888888889	0.999527989417989	0.999812749469214	0.999765447800742
Bal_IDCC4301	0.999963660337553	0.989235214368482	0.998909753410283	0.999928180379747	0.993927900113508	0.993596539540101	0.999985068710359	0.999914763655462	0.99984105466593	0.9999835207567	0.999848960629921	0.993596539540101	0.999680694815607	0.999839557195572	0.999926825813222	0.999957468487395	0.999987154855643	0.999756741214057	1	0.999957324239244	0.999986652675761	0.999984035733053	0.999927013888889	0.999900078698846	0.999900309711286	0.999961592827004	0.999956963626779	0.999884401260504	0.989182262731481	0.999950320209974	0.99982380876915	0.999982859391396	0.999979534637758	0.999987354804646	0.999850147679325	0.999922198321091	0.999605973614776	0.999901077085533	0.99991088219757	0.999928922753547	0.99995016341592	0.999981451104101	0.999986319957761	0.999942287066246	0.999920860440714	0.999627287685775	0.994688921679909	0.999540180467091	0.999936386554622	0.999758837209302	0.999471196222456	0.999957952506596	0.99989870933893	0.999922484243698	0.999905156167284	0.999954773206751	0.999774758403361	0.999881878947368	0.999968931216931
